room,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,roc_auc,pr_auc,tn,fp,fn,tp
102,0.5843198299407959,0.695975808327518,0.8050059543304162,0.9930338872360497,0.6800337904989068,0.8072555670255125,0.9299781181619255,0.9185709976700256,0.9928103984213991,1275,96,6439,13685
103,0.7489988207817078,0.59869737148174,0.7673268188000263,0.9953472341892124,0.5740409461339694,0.7281437125748503,0.9606126914660832,0.9220746760312177,0.9927392860522534,1317,54,8572,11552
104,0.42192238569259644,0.686624796464294,0.779960687936109,0.9886844794860563,0.672977539256609,0.8008396901425108,0.886943836615609,0.89248714860643,0.9902730141217742,1216,155,6581,13543
105,0.5351394414901733,0.7843219353337986,0.7913550320616118,0.9828532235939643,0.7832935798052078,0.8717991261545268,0.799416484318016,0.8837024633994254,0.9893308524526865,1096,275,4361,15763
106,0.618127703666687,0.604931379390556,0.746866582549245,0.9895622895622895,0.5841780958060028,0.7346581677290339,0.9095550692924872,0.887188925380366,0.9887675501783972,1247,124,8368,11756
202,0.4233033061027527,0.743893928820656,0.8146242747916963,0.9904059040590406,0.7335519777380243,0.8428445002712038,0.8956965718453683,0.9072717785760379,0.9918210583136677,1228,143,5362,14762
203,0.5038904547691345,0.6925796696906257,0.7794026053783827,0.9880127094165222,0.6798847147684357,0.8054868715412693,0.8789204959883297,0.899791170744303,0.9906631780228463,1205,166,6442,13682
204,0.5259332060813904,0.6474528960223308,0.7610795018369696,0.9883992525692931,0.6308387994434506,0.7701407425382188,0.8913202042304887,0.8802178861590596,0.9888453000309133,1222,149,7429,12695
205,0.6223359107971191,0.8107466852756455,0.8425113312778063,0.9898706370515011,0.8061021665672828,0.8885845749342682,0.8789204959883297,0.9212070429565722,0.9929812190219323,1205,166,3902,16222
206,0.5714740753173828,0.6788090253547336,0.778165526906049,0.9890500147972773,0.6642814549791294,0.7947681331747919,0.8920495988329686,0.8848126843330648,0.9895402263729177,1223,148,6756,13368
